Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CO-033,Dolores County,15.68,7,-7.63,23.31
CO-035,Douglas County,15.83,35,-2.41,18.24
CO-037,Eagle County,19.9,18,-4.11,24.01
CO-039,Elbert County,14.96,43,-1.61,16.57
CO-041,El Paso County,14.8,48,-1.23,16.03
CO-043,Fremont County,11.41,18,-2.88,14.29
CO-045,Garfield County,19.9,34,-2.57,22.47
CO-047,Gilpin County,19.46,24,-3.42,22.88
CO-049,Grand County,19.38,24,-2.98,22.36
CO-051,Gunnison County,17.09,7,-6.12,23.21
CO-053,Hinsdale County,21.96,9,-8.88,30.84
CO-055,Huerfano County,14.02,16,-3.89,17.91
CO-057,Jackson County,20.61,34,-2.5,23.11
CO-059,Jefferson County,15.31,24,-2.88,18.19
CO-061,Kiowa County,14.12,64,-0.13,14.25
CO-063,Kit Carson County,16.76,63,-0.08,16.84
CO-065,Lake County,21.15,22,-3.05,24.2
CO-067,La Plata County,15.49,8,-7.86,23.35
CO-069,Larimer County,18.43,43,-1.56,19.99
CO-071,Las Animas County,14.73,47,-1.56,16.29
CO-073,Lincoln County,12.1,32,-2.18,14.28
CO-075,Logan County,16.63,67,-0.01,16.64
CO-077,Mesa County,14.33,32,-2.53,16.86
CO-079,Mineral County,20.57,7,-9.94,30.51
CO-081,Moffat County,12.96,27,-1.87,14.83
CO-083,Montezuma County,12.36,13,-4.8,17.16
CO-085,Montrose County,10.92,11,-4.57,15.49
CO-087,Morgan County,13.97,57,-0.55,14.52
CO-089,Otero County,12.35,51,-1.07,13.42
CO-091,Ouray County,15.67,4,-6.64,22.31
CO-093,Park County,13.92,12,-3.44,17.36
CO-095,Phillips County,16.53,50,-1.42,17.95
CO-097,Pitkin County,24.64,20,-4.47,29.11
CO-099,Prowers County,17.44,97,2.27,15.17
CO-101,Pueblo County,10.55,22,-3.03,13.58
CO-103,Rio Blanco County,17.24,44,-1.58,18.82
CO-105,Rio Grande County,11.73,23,-2.85,14.58
CO-107,Routt County,21.94,28,-3.1,25.04
CO-109,Saguache County,12.28,10,-4.33,16.61
CO-111,San Juan County,29.17,8,-12.5,41.67
CO-113,San Miguel County,12.68,7,-6.38,19.06
CO-115,Sedgwick County,21.48,108,3.36,18.12
CO-117,Summit County,22.13,22,-4.38,26.51
CO-119,Teller County,16.49,28,-2.69,19.18
CO-121,Washington County,17.17,76,0.66,16.51
CO-123,Weld County,12.04,34,-1.83,13.87
CO-125,Yuma County,18.78,83,1.22,17.56
CT-001,Fairfield County,65.12,123,17.3,47.82
CT-003,Hartford County,65.22,125,18.72,46.5
CT-005,Litchfield County,65.46,125,17.28,48.18
CT-007,Middlesex County,62.64,123,15.87,46.77
CT-009,New Haven County,64.6,124,17.09,47.51
CT-011,New London County,60.02,124,14.37,45.65
CT-013,Tolland County,64.55,125,18.92,45.63
CT-015,Windham County,64.92,125,19.18,45.74
DE-001,Kent County,61.65,126,18.67,42.98
DE-003,New Castle County,65.5,126,22.34,43.16
DE-005,Sussex County,57.37,122,13.84,43.53
FL-001,Alachua County,66.79,124,14.07,52.72
FL-003,Baker County,53.36,72,1.76,51.6
FL-005,Bay County,70.52,116,11.82,58.7
FL-007,Bradford County,61.22,114,8.82,52.4
FL-009,Brevard County,47.78,50,-2.86,50.64
FL-011,Broward County,54.49,44,-2.7,57.19
FL-013,Calhoun County,71.44,117,13.14,58.3
FL-015,Charlotte County,58.8,108,7.8,51
FL-017,Citrus County,65.49,119,12.03,53.46
FL-019,Clay County,60.57,114,8.6,51.97
FL-021,Collier County,58.73,103,6.5,52.23
FL-023,Columbia County,58.65,103,7.07,51.58
FL-027,DeSoto County,58.93,106,7.43,51.5
FL-029,Dixie County,80.52,126,26.71,53.81
FL-031,Duval County,52.34,75,2.02,50.32
FL-033,Escambia County,77.25,115,14.69,62.56
FL-035,Flagler County,62.4,114,10.42,51.98
FL-037,Franklin County,66.26,103,7.85,58.41
FL-039,Gadsden County,74.3,122,17.55,56.75
FL-041,Gilchrist County,74.03,126,21.17,52.86
FL-043,Glades County,48.86,47,-1.62,50.48
FL-045,Gulf County,66.72,103,8.05,58.67
FL-047,Hamilton County,65.18,117,13.26,51.92
FL-049,Hardee County,57.14,94,4.47,52.67
FL-051,Hendry County,47.57,38,-4.45,52.02
FL-053,Hernando County,62.35,111,8.66,53.69
FL-055,Highlands County,55.29,97,4.6,50.69
FL-057,Hillsborough County,62.07,110,9.56,52.51
FL-059,Holmes County,78.21,122,20.29,57.92
FL-061,Indian River County,45.19,24,-7.46,52.65
FL-063,Jackson County,73.39,124,18.52,54.87
FL-065,Jefferson County,75.52,123,20.3,55.22
FL-067,Lafayette County,74.92,124,20.41,54.51
FL-069,Lake County,56.73,102,5.63,51.1
FL-071,Lee County,56.23,102,6.08,50.15
FL-073,Leon County,75.93,122,18.51,57.42
FL-075,Levy County,70.97,125,17.85,53.12
FL-077,Liberty County,70.83,115,11.82,59.01
FL-079,Madison County,72.71,123,19,53.71
FL-081,Manatee County,59.09,103,6.38,52.71
FL-083,Marion County,63.76,119,10.84,52.92
FL-085,Martin County,48.73,36,-5.53,54.26
FL-086,Miami-Dade County,51.15,36,-4.1,55.25
FL-087,Monroe County,47.14,41,-3.81,50.95
FL-089,Nassau County,54.52,83,3.87,50.65
FL-091,Okaloosa County,74.73,116,13.79,60.94
FL-093,Okeechobee County,49.23,49,-1.79,51.02
FL-095,Orange County,54.88,94,4.29,50.59
FL-097,Osceola County,54,89,3.46,50.54
FL-099,Palm Beach County,51.99,35,-5.06,57.05
FL-101,Pasco County,61.96,110,8.73,53.23
FL-103,Pinellas County,59.69,106,7.94,51.75
FL-105,Polk County,59.64,111,7.72,51.92
FL-107,Putnam County,67.94,123,14.67,53.27
FL-109,St. Johns County,60.01,107,8.92,51.09
