Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
KY-189,Owsley County,46.6,121,2.4,44.2
KY-191,Pendleton County,46.1,122,3.2,42.9
KY-193,Perry County,46,120,2.2,43.8
KY-195,Pike County,46.4,120,2.3,44.1
KY-197,Powell County,46.1,121,2.4,43.7
KY-199,Pulaski County,48.2,125,4.3,43.9
KY-201,Robertson County,45.2,121,2.8,42.4
KY-203,Rockcastle County,47.1,124,3.3,43.8
KY-205,Rowan County,44.4,113,2.1,42.3
KY-207,Russell County,49,125,5.1,43.9
KY-209,Scott County,46.5,124,3.5,43
KY-211,Shelby County,46.3,123,3.1,43.2
KY-213,Simpson County,48.2,118,2.3,45.9
KY-215,Spencer County,46.6,121,2.7,43.9
KY-217,Taylor County,47.4,124,3.4,44
KY-219,Todd County,49.2,124,3.1,46.1
KY-221,Trigg County,49.1,119,2.5,46.6
KY-223,Trimble County,46.8,123,3.6,43.2
KY-225,Union County,47.1,94,1,46.1
KY-227,Warren County,48,118,2.5,45.5
KY-229,Washington County,46.2,118,2.4,43.8
KY-231,Wayne County,48.8,125,4.8,44
KY-233,Webster County,47.8,107,1.5,46.3
KY-235,Whitley County,47.1,124,3.3,43.8
KY-237,Wolfe County,45.6,120,2.1,43.5
KY-239,Woodford County,46.9,124,3.4,43.5
LA-001,Acadia Parish,59.4,118,2.1,57.3
LA-003,Allen Parish,58.2,120,2.1,56.1
LA-005,Ascension Parish,59.6,118,2.5,57.1
LA-007,Assumption Parish,60.8,122,2.9,57.9
LA-009,Avoyelles Parish,57,110,1.8,55.2
LA-011,Beauregard Parish,58.3,121,2.6,55.7
LA-013,Bienville Parish,55.1,123,2.7,52.4
LA-015,Bossier Parish,55.6,122,2.9,52.7
LA-017,Caddo Parish,55.6,120,2.2,53.4
LA-019,Calcasieu Parish,60.4,124,2.6,57.8
LA-021,Caldwell Parish,55.1,116,1.9,53.2
LA-023,Cameron Parish,62.2,121,2.3,59.9
LA-025,Catahoula Parish,55.6,105,1.3,54.3
LA-027,Claiborne Parish,53.9,116,2,51.9
LA-029,Concordia Parish,55.9,106,1.4,54.5
LA-031,De Soto Parish,55.4,120,2.2,53.2
LA-033,East Baton Rouge Parish,59.1,125,3.1,56
LA-035,East Carroll Parish,55.7,122,2.8,52.9
LA-037,East Feliciana Parish,58.3,126,3.6,54.7
LA-039,Evangeline Parish,57.9,117,1.8,56.1
LA-041,Franklin Parish,54.7,101,1.1,53.6
LA-043,Grant Parish,55.8,113,1.9,53.9
LA-045,Iberia Parish,61.2,121,2.5,58.7
LA-047,Iberville Parish,59.7,122,2.7,57
LA-049,Jackson Parish,54.7,124,2.4,52.3
LA-051,Jefferson Parish,62.9,124,2.8,60.1
LA-053,Jefferson Davis Parish,60.1,122,2.3,57.8
LA-055,Lafayette Parish,59.7,120,2.3,57.4
LA-057,Lafourche Parish,63.3,123,3.3,60
LA-059,La Salle Parish,55.9,115,2,53.9
LA-061,Lincoln Parish,54.4,125,2.4,52
LA-063,Livingston Parish,58.8,120,2.6,56.2
LA-065,Madison Parish,55,110,1.7,53.3
LA-067,Morehouse Parish,54.7,122,2.6,52.1
LA-069,Natchitoches Parish,55.7,118,2.1,53.6
LA-071,Orleans Parish,62.1,121,2.7,59.4
LA-073,Ouachita Parish,54.5,118,1.9,52.6
LA-075,Plaquemines Parish,64.3,122,2.9,61.4
LA-077,Pointe Coupee Parish,59.2,125,3.4,55.8
LA-079,Rapides Parish,56.9,119,2,54.9
LA-081,Red River Parish,55.8,122,2.9,52.9
LA-083,Richland Parish,54.8,114,1.7,53.1
LA-085,Sabine Parish,55.3,116,2.1,53.2
LA-087,St. Bernard Parish,63,122,2.7,60.3
LA-089,St. Charles Parish,61.8,124,3,58.8
LA-091,St. Helena Parish,57.6,124,3.1,54.5
LA-093,St. James Parish,60.4,122,2.8,57.6
LA-095,St. John the Baptist Parish,60.5,124,2.9,57.6
LA-097,St. Landry Parish,58.5,120,2.2,56.3
LA-099,St. Martin Parish,60.1,122,2.7,57.4
LA-101,St. Mary Parish,62.4,124,3.1,59.3
LA-103,St. Tammany Parish,59,121,2.7,56.3
LA-105,Tangipahoa Parish,58.1,122,2.7,55.4
LA-107,Tensas Parish,54.4,85,0.6,53.8
LA-109,Terrebonne Parish,63.7,124,3.6,60.1
LA-111,Union Parish,54.3,122,2.4,51.9
LA-113,Vermilion Parish,61.1,117,2,59.1
LA-115,Vernon Parish,56.6,120,2.4,54.2
LA-117,Washington Parish,57.2,122,2.7,54.5
LA-119,Webster Parish,55,122,2.5,52.5
LA-121,West Baton Rouge Parish,59.6,125,3.1,56.5
LA-123,West Carroll Parish,55.4,121,2.7,52.7
LA-125,West Feliciana Parish,58.9,126,3.7,55.2
LA-127,Winn Parish,55.3,120,2.3,53
ME-001,Androscoggin County,34.7,108,2.4,32.3
ME-003,Aroostook County,28.2,92,1.2,27
ME-005,Cumberland County,35.5,108,2.4,33.1
ME-007,Franklin County,29.8,94,1.6,28.2
ME-009,Hancock County,35,106,2,33
ME-011,Kennebec County,34.8,111,2.5,32.3
ME-013,Knox County,36.3,110,2.4,33.9
ME-015,Lincoln County,36.4,111,2.6,33.8
ME-017,Oxford County,31.4,105,2.2,29.2
ME-019,Penobscot County,32.1,101,1.7,30.4
ME-021,Piscataquis County,29.3,95,1.4,27.9
ME-023,Sagadahoc County,36.2,106,2.4,33.8
ME-025,Somerset County,29.6,92,1.1,28.5
ME-027,Waldo County,34.8,107,2.2,32.6
ME-029,Washington County,34.7,115,2.8,31.9
ME-031,York County,35.8,108,2.1,33.7
