Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
OK-059,Harper County,70.7,56,-0.1,70.8
OK-061,Haskell County,72.5,86,0.4,72.1
OK-063,Hughes County,73,81,0.3,72.7
OK-065,Jackson County,74.9,75,0.5,74.4
OK-067,Jefferson County,74.3,37,-0.9,75.2
OK-069,Johnston County,73.4,67,-0.2,73.6
OK-071,Kay County,69.7,52,-0.4,70.1
OK-073,Kingfisher County,71.8,54,-0.3,72.1
OK-075,Kiowa County,73.2,71,0.4,72.8
OK-077,Latimer County,72.1,72,0,72.1
OK-079,Le Flore County,72.4,86,0.6,71.8
OK-081,Lincoln County,72,71,0,72
OK-083,Logan County,71.6,69,0.1,71.5
OK-085,Love County,73.9,42,-0.8,74.7
OK-087,McClain County,73.1,85,0.6,72.5
OK-089,McCurtain County,73.4,86,0.7,72.7
OK-091,McIntosh County,72.2,77,0.3,71.9
OK-093,Major County,71,52,-0.3,71.3
OK-095,Marshall County,73.7,57,-0.3,74
OK-097,Mayes County,69.9,43,-0.7,70.6
OK-099,Murray County,72.6,32,-0.9,73.5
OK-101,Muskogee County,71.9,73,0.2,71.7
OK-103,Noble County,70.9,69,0,70.9
OK-105,Nowata County,69.1,48,-0.7,69.8
OK-107,Okfuskee County,72.3,74,0.1,72.2
OK-109,Oklahoma County,72,80,0.4,71.6
OK-111,Okmulgee County,71.9,70,-0.1,72
OK-113,Osage County,69.5,51,-0.6,70.1
OK-115,Ottawa County,69,57,-0.1,69.1
OK-117,Pawnee County,70.7,56,-0.4,71.1
OK-119,Payne County,71.5,77,0.1,71.4
OK-121,Pittsburg County,72.6,74,0,72.6
OK-123,Pontotoc County,73,60,-0.2,73.2
OK-125,Pottawatomie County,72.8,76,0.2,72.6
OK-127,Pushmataha County,72.6,68,-0.1,72.7
OK-129,Roger Mills County,72,85,0.7,71.3
OK-131,Rogers County,70.3,63,-0.1,70.4
OK-133,Seminole County,73,78,0.2,72.8
OK-135,Sequoyah County,72,81,0.4,71.6
OK-137,Stephens County,73.2,44,-0.6,73.8
OK-139,Texas County,70.4,48,-0.1,70.5
OK-141,Tillman County,75.3,75,0.3,75
OK-143,Tulsa County,71.2,75,0.2,71
OK-145,Wagoner County,71.3,63,-0.3,71.6
OK-147,Washington County,69.6,56,-0.4,70
OK-149,Washita County,72,66,0.1,71.9
OK-151,Woods County,70.6,66,0,70.6
OK-153,Woodward County,70.4,57,-0.2,70.6
OR-001,Baker County,55.8,55,0,55.8
OR-003,Benton County,62,89,0.8,61.2
OR-005,Clackamas County,56.5,57,0,56.5
OR-007,Clatsop County,58.2,90,0.7,57.5
OR-009,Columbia County,59.7,89,0.7,59
OR-011,Coos County,62.1,104,1.7,60.4
OR-013,Crook County,57.6,67,0.3,57.3
OR-015,Curry County,62.2,99,1.5,60.7
OR-017,Deschutes County,55.8,53,-0.1,55.9
OR-019,Douglas County,60.6,90,1,59.6
OR-021,Gilliam County,60.4,58,0.1,60.3
OR-023,Grant County,55.1,55,-0.1,55.2
OR-025,Harney County,57.6,58,0.2,57.4
OR-027,Hood River County,53.1,59,0.1,53
OR-029,Jackson County,60.8,72,0.4,60.4
OR-031,Jefferson County,58.2,57,0,58.2
OR-033,Josephine County,61.2,99,1.4,59.8
OR-035,Klamath County,56.6,69,0.4,56.2
OR-037,Lake County,57,56,0.2,56.8
OR-039,Lane County,58.8,83,0.6,58.2
OR-041,Lincoln County,59.8,93,0.8,59
OR-043,Linn County,58,56,0.2,57.8
OR-045,Malheur County,60,71,0.4,59.6
OR-047,Marion County,58.7,72,0.3,58.4
OR-049,Morrow County,59.6,53,-0.2,59.8
OR-051,Multnomah County,59.8,73,0.3,59.5
OR-053,Polk County,61.6,106,1.2,60.4
OR-055,Sherman County,59.8,55,0,59.8
OR-057,Tillamook County,57.2,84,0.5,56.7
OR-059,Umatilla County,58.7,60,0.2,58.5
OR-061,Union County,54.4,70,0.5,53.9
OR-063,Wallowa County,53.1,46,-0.3,53.4
OR-065,Wasco County,57.9,45,-0.3,58.2
OR-067,Washington County,59.9,86,0.7,59.2
OR-069,Wheeler County,57.4,44,-0.2,57.6
OR-071,Yamhill County,60.6,71,0.3,60.3
PA-001,Adams County,64,114,2.3,61.7
PA-003,Allegheny County,63,111,1.9,61.1
PA-005,Armstrong County,61.5,110,1.8,59.7
PA-007,Beaver County,61.8,103,1.2,60.6
PA-009,Bedford County,62.6,115,2,60.6
PA-011,Berks County,63.7,116,2.5,61.2
PA-013,Blair County,60.5,103,1.5,59
PA-015,Bradford County,57.4,100,1.3,56.1
PA-017,Bucks County,64.5,120,3.2,61.3
PA-019,Butler County,60.7,96,1.2,59.5
PA-021,Cambria County,58.6,105,1.7,56.9
PA-023,Cameron County,57.9,80,0.5,57.4
PA-025,Carbon County,58.7,107,1.6,57.1
PA-027,Centre County,58.8,84,0.6,58.2
PA-029,Chester County,64.4,115,2.6,61.8
PA-031,Clarion County,60.4,117,2.5,57.9
PA-033,Clearfield County,58.8,100,1.4,57.4
PA-035,Clinton County,58.7,83,0.5,58.2
PA-037,Columbia County,59.4,100,1.3,58.1
PA-039,Crawford County,58.8,112,2.4,56.4
PA-041,Cumberland County,64,119,2.8,61.2
PA-043,Dauphin County,62.7,118,2.6,60.1
PA-045,Delaware County,65.2,116,2.7,62.5
PA-047,Elk County,58.5,115,2.4,56.1
PA-049,Erie County,58.4,116,2.4,56
PA-051,Fayette County,62.6,113,2.2,60.4
PA-053,Forest County,59.4,119,3,56.4
PA-055,Franklin County,64.1,116,2.4,61.7
PA-057,Fulton County,64.1,120,2.5,61.6
PA-059,Greene County,64,114,2.1,61.9
PA-061,Huntingdon County,62.1,110,1.7,60.4
PA-063,Indiana County,60.7,109,1.8,58.9
PA-065,Jefferson County,59.3,114,2.3,57
PA-067,Juniata County,62.1,109,1.6,60.5
